struct planet
slot nameStart
slot nameEnd
slot nameNumber
slot prime
slot sun
slot soilColor
slot surface
slot climate
slot landscape
slot special
slot symmetry
slot animalColor
slot animalTexture
slot flora
slot leafColor
slot plantTexture
slot plantDecoColor
slot plantDeco
slot fauna
slot lifeSpecial
desc <h1>{nameStart}{nameEnd} {nameNumber}</h1>{surface:desc}<br><br>{fauna:desc}<br><br>{special:desc}

nameStart Bi
nameStart Tor
nameStart Teri
nameStart Alim
nameStart Cre
nameStart Dri
nameStart Epi
nameStart Fra
nameStart Gro
nameStart Hima
nameStart Jutu
nameStart Kima
nameStart Lu
nameStart Mi
nameStart No
nameStart Noto
nameStart Ori
nameStart Pru
nameStart Qu
nameStart Ria
nameStart Su
nameStart Umako
nameStart Vime
nameStart Wito
nameStart Xi
nameStart Ya
nameStart Zumo
nameEnd von
nameEnd oll
nameEnd tol
nameEnd gon
nameEnd prim
nameEnd tes
nameEnd lup
nameEnd vim
nameEnd qua
nameEnd pip
nameEnd am
nameNumber I
nameNumber II
nameNumber III
nameNumber IV
nameNumber V
nameNumber VI

prime seven
prime eleven
prime thirteen
prime seventeen
prime nineteen

sun brightBlue
brightness bright
color blue

sun dullRed
brightness dull
color red

sun dimWhite
brightness dim
color white

sun blindingWhite
brightness blinding
color white

sun gentleYellow
brightness gentle
color yellow

sun harshRed
brightness harsh
color red

sun wanYellow
brightness wan
color yellow

sun dimBlue
brightness dim
color blue

surface deepOcean
desc A planet-wide, deep {climate:ocean}. {landscape:desc}
lurk in the ocean.
ocean yes
land no

surface ocean
desc A planet-wide {climate:ocean}. {landscape:desc}
lurk in the ocean.
ocean yes
land no

surface islands
desc A few islands are dotted around an {climate:ocean}. {landscape:desc} {flora:land}
lurk in the shallows.
ocean yes
land yes

surface continents
desc Large continents. {landscape:desc} {flora:land}
lurk {flora:lurk}
ocean yes
land yes

surface supercontinent
desc A supercontinent and some small, shallow {climate:seas}. {landscape:desc} {flora:land}
lurk {flora:lurk}
ocean yes
land yes

surface swamps
desc Shallow {climate:lakes} and swamps. {landscape:desc} {flora:land}
lurk in the swamps.
ocean no
land no

surface jungle
desc Dense jungles cover {nameStart}{nameEnd} {nameNumber}. {landscape:desc} {flora:land}
lurk in the jungles.
ocean no
land yes

surface tundra
desc Tundra and a few {climate:lakes}. {landscape:desc} {flora:land}
lurk {flora:lurk}
ocean no
land yes

surface muddy
desc {soilColor:cap} mud and small rivulets cover the surface. {landscape:desc} {flora:land}
lurk {flora:lurk}
ocean no
land yes

surface arid
desc Apart from a few {climate:lakes} and rivers, {nameStart}{nameEnd} {nameNumber} is dry. {landscape:desc} {flora:land}
lurk {flora:lurk}
ocean no
land yes

surface desert
desc A sandy desert lit by a {sun:brightness} {sun:color} sun. {landscape:desc} {flora:land}
lurk beneath the sand.
ocean no
land yes

surface icyDesert
desc An icy desert. {landscape:desc} {flora:land}
lurk in the ice.
ocean no
land yes

surface rocks
desc A rocky desert lit by a {sun:brightness} {sun:color} sun. {landscape:desc} {flora:land}
lurk in nooks and crannies.
ocean no
land yes

surface jaggedRocks
desc A desert of jagged rocks. {landscape:desc} {flora:land}
lurk in nooks and crannies.
ocean no
land yes

climate veryCold
blocker sun brightBlue
blocker sun gentleYellow
blocker sun harshRed
blocker surface jungle
blocker surface swamps
blocker surface islands
blocker surface muddy
ocean ocean covered by a thick ice sheet
seas seas covered with thick ice sheets
lakes frozen lakes

climate cold
blocker sun brightBlue
blocker sun gentleYellow
blocker surface icyDesert
ocean ocean covered by ice everywhere except near the equator
seas seas mostly covered with ice
lakes frozen lakes

climate temperate
blocker sun dimWhite
blocker sun dimBlue
blocker surface icyDesert
blocker surface tundra
ocean ocean mostly free of ice, except at the poles
seas seas
lakes lakes

climate hot
blocker sun dimWhite
blocker sun dimBlue
blocker surface icyDesert
blocker surface tundra
ocean ocean
seas seas
lakes warm lakes

climate veryHot
blocker sun dimWhite
blocker sun gentleYellow
blocker sun wanYellow
blocker sun dimBlue
blocker surface icyDesert
blocker surface tundra
ocean ocean that is constantly steaming
seas seas that are constantly steaming
lakes boiling lakes

soilColor red
cap Red
soilColor grey
cap Grey
soilColor brown
cap Brown
soilColor black
cap Black
soilColor dark green
cap Dark green

landscape mountains
blocker surface:land no
blocker surface muddy
desc Tall mountains rise towards the sky.

landscape sinkholes
blocker surface:land no
blocker surface islands
desc Sinkholes dot the land.

landscape fissures
blocker surface:land no
desc Noxious gases erupt from deep fissures.

landscape rockSpires
blocker surface:land no
desc Spires of sharp stone interrupt the otherwise flat terrain.

landscape sandBeach
blocker surface:land no
blocker surface:ocean no
desc There are wide beaches of fine {soilColor} sand.

landscape rockBeach
blocker surface:land no
blocker surface:ocean no
desc There are wide, {soilColor}, rocky beaches.

landscape maze
blocker surface:land no
blocker surface swamps
blocker surface icyDesert
blocker surface desert
blocker surface rocks
blocker surface jaggedRocks
blocker surface muddy
desc The land is covered in a maze of steep valleys.

landscape plateaus
blocker surface:land no
blocker surface islands
blocker surface swamps
blocker surface muddy
desc There are large plateaus with steep sides.

landscape plains
blocker surface:land no
blocker surface swamps
blocker surface jungle
blocker surface icyDesert
blocker surface desert
blocker surface rocks
blocker surface jaggedRocks
blocker surface muddy
desc Great plains stretch under the {sun:brightness} {sun:color} sun.

landscape hills
blocker surface:land no
blocker surface desert
blocker surface jaggedRocks
blocker surface icyDesert
blocker surface rocks
blocker surface swamps
blocker surface jungle
blocker surface muddy
blocker surface jaggedRocks
desc There are gentle rolling hills.

landscape canyons
blocker surface:land no
desc Deep canyons cut into the planet's crust.

landscape tunnels
blocker surface:land no
blocker surface muddy
desc A network of tunnels extends under much of the surface.

landscape nothingSpecial
desc  

special radioactive
desc Much of the planet is heavily radioactive.

special giantMoon
desc A giant moon looms in the sky.

special darkness
desc Due to a celestial conjunction, the planet is plunged into darkness every {prime} years.

special manyMoons
desc Many moons can be seen in the sky.

special dustBand
desc A band of glittering dust can be seen in the sky.

special cloudCover
desc The sky is constantly cloudy.

special constantRain
blocker surface:land no
blocker surface desert
blocker surface icyDesert
blocker surface rocks
blocker surface jaggedRocks
blocker surface arid
desc It is always raining.

special impactCrater
desc The remains of an ancient, massive impact crater can be seen all the way from orbit.

special dustStorms
blocker surface:land no
blocker surface islands
blocker surface swamps
desc Constant dust storms make it hard to see anything.

special snowStorms
blocker climate temperate
blocker climate hot
blocker climate veryHot
blocker surface arid
blocker surface desert
desc Constant snowstorms make it hard to see anything.

special hurricanes
blocker climate veryCold
blocker surface tundra
blocker surface arid
blocker surface desert
blocker surface icyDesert
blocker surface rocks
blocker surface jaggedRocks
desc Constant hurricanes ravage the surface.

special iceSpires
blocker surface:land no
blocker climate temperate
blocker climate hot
blocker climate veryHot
desc Tall ice spires formed by an unknown process cover much of the ground.

special slowDayCycle
desc A single day takes a very long time.

special fastDayCycle
desc Day and night rapidly follow on from each other.

special irregularDayCycle
desc Day and night have an irregular pattern due to the presence of two suns.

special heavyGravity
desc The gravity is very strong.

special lowGravity
desc The gravity is quite low.

special thinAir
desc The air is thin.

special thickAir
desc The air pressure is very high.

special tidallyLocked
desc The planet is tidally locked to its sun. One side is in constant day, the other in constant night, and a narrow band of twilight stretches around it.

special electricalStorms
desc Powerful electrical storms disrupt electronics and light up the sky.

special solarFlares
desc Frequent strong solar flares cause beautiful displays of light in the sky and make electronics all but useless.

special poisonedSoil
blocker surface:land no
desc The soil is poisoned with heavy metals.

special richSurface
blocker surface:land no
desc Deposits of valuable ores can be seen all over the surface.

special deepRiches
blocker surface:land yes
desc There are deposits of valuable ores in the ocean depths.

special petroleum
blocker surface:land no
desc There are deposits of a petroleum-like substance just under the surface.

special constantWind
desc A constant wind whips around the planet.

symmetry 2
many eight
waterPropulsion tails
fewLegged four-legged
fold bilateral
some two

symmetry 3
many nine
waterPropulsion siphons
fewLegged three-legged
fold threefold
some three

symmetry 5
many ten
waterPropulsion flippers
fewLegged five-legged
fold fivefold
some five

symmetry 6
many six
waterPropulsion undulating bodies
fewLegged six-legged
fold hexagonal
some six

symmetry 0
many many
waterPropulsion mass of tentacles
fewLegged tentacular
fold no
some several

leafColor red
blocker sun dullRed
blocker sun harshRed
leafColor green
leafColor orange
leafColor green
leafColor purple
leafColor black
leafColor blue
blocker sun brightBlue
blocker sun dimBlue
leafColor white
blocker flora deepForests
blocker flora treeTowers
blocker flora dottedShrubs
leafColor yellow
leafColor crimson
leafColor pink
leafColor light blue
leafColor dark green
leafColor grey
leafColor dark orange
leafColor light green
leafColor brown

animalColor black
